Sentence #1 (34 tokens):
I can't believe I am so angry after seeing this that I am about to write my first ever review on IMDb.This Disney documentary is nothing but a rehashed Planet Earth lite.
[Text=I CharacterOffsetBegin=4 CharacterOffsetEnd=5 PartOfSpeech=PRP] [Text=ca CharacterOffsetBegin=6 CharacterOffsetEnd=8 PartOfSpeech=MD] [Text=n't CharacterOffsetBegin=8 CharacterOffsetEnd=11 PartOfSpeech=RB] [Text=believe CharacterOffsetBegin=12 CharacterOffsetEnd=19 PartOfSpeech=VB] [Text=I CharacterOffsetBegin=20 CharacterOffsetEnd=21 PartOfSpeech=PRP] [Text=am CharacterOffsetBegin=22 CharacterOffsetEnd=24 PartOfSpeech=VBP] [Text=so CharacterOffsetBegin=25 CharacterOffsetEnd=27 PartOfSpeech=RB] [Text=angry CharacterOffsetBegin=28 CharacterOffsetEnd=33 PartOfSpeech=JJ] [Text=after CharacterOffsetBegin=34 CharacterOffsetEnd=39 PartOfSpeech=IN] [Text=seeing CharacterOffsetBegin=40 CharacterOffsetEnd=46 PartOfSpeech=VBG] [Text=this CharacterOffsetBegin=47 CharacterOffsetEnd=51 PartOfSpeech=DT] [Text=that CharacterOffsetBegin=52 CharacterOffsetEnd=56 PartOfSpeech=IN] [Text=I CharacterOffsetBegin=57 CharacterOffsetEnd=58 PartOfSpeech=PRP] [Text=am CharacterOffsetBegin=59 CharacterOffsetEnd=61 PartOfSpeech=VBP] [Text=about CharacterOffsetBegin=62 CharacterOffsetEnd=67 PartOfSpeech=IN] [Text=to CharacterOffsetBegin=68 CharacterOffsetEnd=70 PartOfSpeech=TO] [Text=write CharacterOffsetBegin=71 CharacterOffsetEnd=76 PartOfSpeech=VB] [Text=my CharacterOffsetBegin=77 CharacterOffsetEnd=79 PartOfSpeech=PRP$] [Text=first CharacterOffsetBegin=80 CharacterOffsetEnd=85 PartOfSpeech=JJ] [Text=ever CharacterOffsetBegin=86 CharacterOffsetEnd=90 PartOfSpeech=RB] [Text=review CharacterOffsetBegin=91 CharacterOffsetEnd=97 PartOfSpeech=VB] [Text=on CharacterOffsetBegin=98 CharacterOffsetEnd=100 PartOfSpeech=IN] [Text=IMDb.This CharacterOffsetBegin=101 CharacterOffsetEnd=110 PartOfSpeech=NNP] [Text=Disney CharacterOffsetBegin=111 CharacterOffsetEnd=117 PartOfSpeech=NNP] [Text=documentary CharacterOffsetBegin=118 CharacterOffsetEnd=129 PartOfSpeech=NN] [Text=is CharacterOffsetBegin=130 CharacterOffsetEnd=132 PartOfSpeech=VBZ] [Text=nothing CharacterOffsetBegin=133 CharacterOffsetEnd=140 PartOfSpeech=NN] [Text=but CharacterOffsetBegin=141 CharacterOffsetEnd=144 PartOfSpeech=CC] [Text=a CharacterOffsetBegin=145 CharacterOffsetEnd=146 PartOfSpeech=DT] [Text=rehashed CharacterOffsetBegin=147 CharacterOffsetEnd=155 PartOfSpeech=VBN] [Text=Planet CharacterOffsetBegin=156 CharacterOffsetEnd=162 PartOfSpeech=NN] [Text=Earth CharacterOffsetBegin=163 CharacterOffsetEnd=168 PartOfSpeech=NNP] [Text=lite CharacterOffsetBegin=169 CharacterOffsetEnd=173 PartOfSpeech=NN] [Text=. CharacterOffsetBegin=173 CharacterOffsetEnd=174 PartOfSpeech=.] 
root(ROOT-0, believe-4)
nsubj(believe-4, I-1)
aux(believe-4, ca-2)
neg(believe-4, n't-3)
nsubj(angry-8, I-5)
cop(angry-8, am-6)
advmod(angry-8, so-7)
ccomp(believe-4, angry-8)
prep(angry-8, after-9)
pcomp(after-9, seeing-10)
nsubj(nothing-27, this-11)
mark(about-15, that-12)
nsubj(about-15, I-13)
aux(about-15, am-14)
dep(nothing-27, about-15)
aux(write-17, to-16)
xcomp(about-15, write-17)
poss(review-21, my-18)
amod(review-21, first-19)
advmod(review-21, ever-20)
dobj(write-17, review-21)
prep(review-21, on-22)
nn(documentary-25, IMDb.This-23)
nn(documentary-25, Disney-24)
pobj(on-22, documentary-25)
cop(nothing-27, is-26)
dep(seeing-10, nothing-27)
cc(nothing-27, but-28)
det(lite-33, a-29)
amod(lite-33, rehashed-30)
nn(lite-33, Planet-31)
nn(lite-33, Earth-32)
conj(nothing-27, lite-33)
punct(believe-4, .-34)

Sentence #2 (43 tokens):
Now I knew going into this that it was advertised as "from the people who brought you Planet Earth," but I had no idea they were going to blatantly use the exact same cuts as the groundbreaking documentary mini-series.
