Sentence #1 (13 tokens):
Ming The Merciless does a little Bardwork and a movie most foul!
[Text=Ming CharacterOffsetBegin=4 CharacterOffsetEnd=8 PartOfSpeech=VBG] [Text=The CharacterOffsetBegin=9 CharacterOffsetEnd=12 PartOfSpeech=DT] [Text=Merciless CharacterOffsetBegin=13 CharacterOffsetEnd=22 PartOfSpeech=JJ] [Text=does CharacterOffsetBegin=23 CharacterOffsetEnd=27 PartOfSpeech=VBZ] [Text=a CharacterOffsetBegin=28 CharacterOffsetEnd=29 PartOfSpeech=DT] [Text=little CharacterOffsetBegin=30 CharacterOffsetEnd=36 PartOfSpeech=JJ] [Text=Bardwork CharacterOffsetBegin=37 CharacterOffsetEnd=45 PartOfSpeech=NN] [Text=and CharacterOffsetBegin=46 CharacterOffsetEnd=49 PartOfSpeech=CC] [Text=a CharacterOffsetBegin=50 CharacterOffsetEnd=51 PartOfSpeech=DT] [Text=movie CharacterOffsetBegin=52 CharacterOffsetEnd=57 PartOfSpeech=NN] [Text=most CharacterOffsetBegin=58 CharacterOffsetEnd=62 PartOfSpeech=RBS] [Text=foul CharacterOffsetBegin=63 CharacterOffsetEnd=67 PartOfSpeech=JJ] [Text=! CharacterOffsetBegin=67 CharacterOffsetEnd=68 PartOfSpeech=.] 
root(ROOT-0, Ming-1)
det(Merciless-3, The-2)
nsubj(does-4, Merciless-3)
ccomp(Ming-1, does-4)
det(Bardwork-7, a-5)
amod(Bardwork-7, little-6)
dobj(does-4, Bardwork-7)
cc(Bardwork-7, and-8)
det(movie-10, a-9)
conj(Bardwork-7, movie-10)
advmod(foul-12, most-11)
amod(movie-10, foul-12)
punct(Ming-1, !-13)

